wbhao,geoid_scatter,teacher,k12,AreaName,teacher_share,k12_share,state,city,city2
Hispanic,0100190,0,12462,"Colbert County, Fayette County, Franklin County, Lamar County, Lauderdale County, Marion County, Walker County",0,0.063513905,Alabama,,
Hispanic,0100290,554,34955,"Limestone County, Madison County, Marshall County",0.018487003,0.097149037,Alabama,,
Hispanic,0100400,0,12718,"DeKalb County, Jackson County",0,0.14526391,Alabama,,
Hispanic,0100600,0,11069,"Lawrence County, Morgan County",0,0.105609141,Alabama,,
Hispanic,0100700,0,5109,"Cullman County, Winston County",0,0.074216649,Alabama,,
Hispanic,0100800,0,8690,"Blount County, St. Clair County",0,0.087207846,Alabama,,
Hispanic,0100900,0,4637,Etowah County,0,0.066013694,Alabama,,
Hispanic,0101000,0,2736,"Cherokee County, Clay County, Cleburne County, Randolph County, Talladega County",0,0.025628775,Alabama,,
Hispanic,0101100,0,4095,Calhoun County,0,0.052910395,Alabama,,
Hispanic,0101200,73,11955,Shelby County,0.006015162,0.078086726,Alabama,,
Hispanic,0101300,147,24324,Jefferson County,0.00337799,0.055875879,Alabama,,
Hispanic,0101590,0,4645,"Pickens County, Tuscaloosa County",0,0.034427043,Alabama,,
Hispanic,0101700,0,1089,"Bibb County, Dallas County, Greene County, Hale County, Marengo County, Perry County, Sumter County",0,0.010984799,Alabama,,
Hispanic,0101800,241,5463,"Chambers County, Chilton County, Coosa County, Tallapoosa County",0.045445975,0.065344542,Alabama,,
Hispanic,0101900,105,4636,Lee County,0.014776246,0.048491187,Alabama,,
Hispanic,0102090,488,10028,"Autauga County, Elmore County, Lowndes County, Montgomery County",0.024663905,0.037505515,Alabama,,
Hispanic,0102200,0,841,"Choctaw County, Clarke County, Conecuh County, Escambia County, Monroe County, Washington County, Wilcox County",0,0.008652263,Alabama,,
Hispanic,0102300,289,4567,"Butler County, Coffee County, Covington County, Crenshaw County",0.044722997,0.053698458,Alabama,,
Hispanic,0102400,143,5109,"Barbour County, Bullock County, Macon County, Pike County, Russell County",0.023083132,0.051141143,Alabama,,
Hispanic,0102500,121,6925,"Dale County, Geneva County, Henry County, Houston County",0.014250383,0.051445298,Alabama,,
Hispanic,0102600,0,10281,Baldwin County,0,0.078378007,Alabama,,
Hispanic,0102700,231,10008,Mobile County,0.00985579,0.034839153,Alabama,,
Hispanic,0200100,2172,25489,Anchorage Municipality,0.114756696,0.127378121,Alaska,,
Hispanic,0200200,170,7666,"Kenai Peninsula Borough, Matanuska-Susitna Borough",0.018085107,0.063033953,Alaska,,
Hispanic,0200300,669,11393,"Denali Borough, Fairbanks North Star Borough, Haines Borough, Juneau City and Borough, Ketchikan Gateway Borough, Skagway Municipality, Southeast Fairbanks Census Area, Valdez-Cordova Census Area",0.053921174,0.096915513,Alaska,,
