city,state,abbr,white,black,hispanic,asian,american_indian,alaskan_native,native_hawaiian,city_k12,city_teacher,state_k12,state_teacher
Birmingham,Alabama,AL,1,1,1,1,1,0,0,0.976897597,0.989843011,0.969579458,0.991264105
Birmingham,Alabama,AL,0,1,1,1,1,0,0,0.555947125,0.289679915,0.381079435,0.209634274
Birmingham,Alabama,AL,1,0,1,1,1,0,0,0.494567215,0.710297108,0.664406598,0.798692584
Birmingham,Alabama,AL,0,0,1,1,1,0,0,0.073616773,0.010133971,0.075906567,0.017062752
Birmingham,Alabama,AL,1,1,0,1,1,0,0,0.9210217,0.986465037,0.909637094,0.981855571
Birmingham,Alabama,AL,0,1,0,1,1,0,0,0.500071228,0.286301911,0.321137071,0.20022577
Birmingham,Alabama,AL,1,0,0,1,1,0,0,0.438691348,0.706919134,0.604464233,0.78928405
Birmingham,Alabama,AL,0,0,0,1,1,0,0,0.01774089,0.00675598,0.015964212,0.007654245
Birmingham,Alabama,AL,1,1,1,0,1,0,0,0.960553348,0.983087003,0.957768202,0.986264825
Birmingham,Alabama,AL,0,1,1,0,1,0,0,0.539602876,0.282923937,0.369268149,0.204635024
Birmingham,Alabama,AL,1,0,1,0,1,0,0,0.478222996,0.7035411,0.652595341,0.793693304
Birmingham,Alabama,AL,0,0,1,0,1,0,0,0.057272546,0.00337799,0.064095289,0.0120635
Birmingham,Alabama,AL,1,1,0,0,1,0,0,0.904677451,0.979709029,0.897825837,0.976856291
Birmingham,Alabama,AL,0,1,0,0,1,0,0,0.483726978,0.279545933,0.309325784,0.19522652
Birmingham,Alabama,AL,1,0,0,0,1,0,0,0.422347128,0.700163126,0.592652977,0.78428477
Birmingham,Alabama,AL,0,0,0,0,1,0,0,0.001396667,0,0.004152936,0.002654993
Birmingham,Alabama,AL,1,1,1,1,0,0,0,0.975500941,0.989843011,0.965426505,0.988609135
Birmingham,Alabama,AL,0,1,1,1,0,0,0,0.554550469,0.289679915,0.376926512,0.206979275
Birmingham,Alabama,AL,1,0,1,1,0,0,0,0.493170559,0.710297108,0.660253644,0.796037614
Birmingham,Alabama,AL,0,0,1,1,0,0,0,0.072220102,0.010133971,0.071753629,0.01440776
Birmingham,Alabama,AL,1,1,0,1,0,0,0,0.919625044,0.986465037,0.90548414,0.979200602
Birmingham,Alabama,AL,0,1,0,1,0,0,0,0.498674542,0.286301911,0.316984147,0.197570771
Birmingham,Alabama,AL,1,0,0,1,0,0,0,0.437294692,0.706919134,0.600311279,0.786629081
Birmingham,Alabama,AL,0,0,0,1,0,0,0,0.016344223,0.00675598,0.011811276,0.004999253
Birmingham,Alabama,AL,1,1,1,0,0,0,0,0.959156692,0.983087003,0.953615248,0.983609855
Birmingham,Alabama,AL,0,1,1,0,0,0,0,0.53820622,0.282923937,0.365115225,0.201980025
Birmingham,Alabama,AL,1,0,1,0,0,0,0,0.47682634,0.7035411,0.648442388,0.791038334
Birmingham,Alabama,AL,0,0,1,0,0,0,0,0.055875879,0.00337799,0.05994235,0.009408507
Birmingham,Alabama,AL,1,1,0,0,0,0,0,0.903280795,0.979709029,0.893672884,0.974201322
Birmingham,Alabama,AL,0,1,0,0,0,0,0,0.482330322,0.279545933,0.305172861,0.192571521
Birmingham,Alabama,AL,1,0,0,0,0,0,0,0.420950472,0.700163126,0.588500023,0.781629801
Birmingham,Alabama,AL,0,0,0,0,0,0,0,0,0,0,0
,Alaska,AK,1,1,1,1,1,1,0,,,0.870190799,0.959026277
,Alaska,AK,0,1,1,1,1,1,0,,,0.362275302,0.137073368
,Alaska,AK,1,0,1,1,1,1,0,,,0.840413094,0.933370054
,Alaska,AK,0,0,1,1,1,1,0,,,0.332497597,0.111417137
,Alaska,AK,1,1,0,1,1,1,0,,,0.779210091,0.892375171
,Alaska,AK,0,1,0,1,1,1,0,,,0.271294594,0.07042224
,Alaska,AK,1,0,0,1,1,1,0,,,0.749432385,0.866718948
,Alaska,AK,0,0,0,1,1,1,0,,,0.241516873,0.044766001
,Alaska,AK,1,1,1,0,1,1,0,,,0.808944523,0.949746788
,Alaska,AK,0,1,1,0,1,1,0,,,0.301029027,0.127793908
,Alaska,AK,1,0,1,0,1,1,0,,,0.779166818,0.924090564
,Alaska,AK,0,0,1,0,1,1,0,,,0.271251321,0.10213767
,Alaska,AK,1,1,0,0,1,1,0,,,0.717963815,0.883095682
,Alaska,AK,0,1,0,0,1,1,0,,,0.210048288,0.061142772
,Alaska,AK,1,0,0,0,1,1,0,,,0.688186109,0.857439458
,Alaska,AK,0,0,0,0,1,1,0,,,0.180270582,0.035486538
,Alaska,AK,1,1,1,1,0,1,0,,,0.848933399,0.952162027
,Alaska,AK,0,1,1,1,0,1,0,,,0.341017872,0.130209103
,Alaska,AK,1,0,1,1,0,1,0,,,0.819155693,0.926505804
,Alaska,AK,0,0,1,1,0,1,0,,,0.311240166,0.104552872
,Alaska,AK,1,1,0,1,0,1,0,,,0.75795269,0.885510921
,Alaska,AK,0,1,0,1,0,1,0,,,0.250037134,0.063557975
