wbhao,geoid_scatter,teacher,k12,AreaName,teacher_share,k12_share,state,city,city2
Black,0100190,1292,24311,"Colbert County, Fayette County, Franklin County, Lamar County, Lauderdale County, Marion County, Walker County",0.082964107,0.123903595,Alabama,,
Black,0100290,4362,77217,"Limestone County, Madison County, Marshall County",0.145560116,0.214606121,Alabama,,
Black,0100400,0,3175,"DeKalb County, Jackson County",0,0.036264576,Alabama,,
Black,0100600,994,16674,"Lawrence County, Morgan County",0.148602188,0.159086362,Alabama,,
Black,0100700,11,788,"Cullman County, Winston County",0.002665374,0.011446999,Alabama,,
Black,0100800,141,8233,"Blount County, St. Clair County",0.033098593,0.082621656,Alabama,,
Black,0100900,384,14394,Etowah County,0.071695298,0.204917222,Alabama,,
Black,0101000,1427,29475,"Cherokee County, Clay County, Cleburne County, Randolph County, Talladega County",0.185348749,0.276099473,Alabama,,
Black,0101100,488,21411,Calhoun County,0.082404591,0.27664578,Alabama,,
Black,0101200,667,23971,Shelby County,0.054960448,0.156571895,Alabama,,
Black,0101300,12165,217152,Jefferson County,0.279545933,0.498830736,Alabama,,
Black,0101590,4163,56816,"Pickens County, Tuscaloosa County",0.332030624,0.421099454,Alabama,,
Black,0101700,3807,64921,"Bibb County, Dallas County, Greene County, Hale County, Marengo County, Perry County, Sumter County",0.515644073,0.65486145,Alabama,,
Black,0101800,571,26187,"Chambers County, Chilton County, Coosa County, Tallapoosa County",0.107674904,0.313230395,Alabama,,
Black,0101900,988,28676,Lee County,0.13903743,0.299942464,Alabama,,
Black,0102090,7704,134779,"Autauga County, Elmore County, Lowndes County, Montgomery County",0.38936621,0.50408417,Alabama,,
Black,0102200,1773,45516,"Choctaw County, Clarke County, Conecuh County, Escambia County, Monroe County, Washington County, Wilcox County",0.317287058,0.468271613,Alabama,,
Black,0102300,1243,24068,"Butler County, Coffee County, Covington County, Crenshaw County",0.192355305,0.2829898,Alabama,,
Black,0102400,2082,57092,"Barbour County, Bullock County, Macon County, Pike County, Russell County",0.336077482,0.57149148,Alabama,,
Black,0102500,644,40547,"Dale County, Geneva County, Henry County, Houston County",0.075845011,0.301220566,Alabama,,
Black,0102600,532,22471,Baldwin County,0.045012269,0.171309426,Alabama,,
Black,0102700,4245,124780,Mobile County,0.181116134,0.434375465,Alabama,,
Black,0200100,1151,21519,Anchorage Municipality,0.060812596,0.107538544,Alaska,,
Black,0200200,0,3049,"Kenai Peninsula Borough, Matanuska-Susitna Borough",0,0.025070509,Alaska,,
Black,0200300,60,7446,"Denali Borough, Fairbanks North Star Borough, Haines Borough, Juneau City and Borough, Ketchikan Gateway Borough, Skagway Municipality, Southeast Fairbanks Census Area, Valdez-Cordova Census Area",0.00483598,0.063340023,Alaska,,
Black,0200400,0,420,"Aleutians East Borough, Aleutians West Census Area, Bethel Census Area, Bristol Bay Borough, Dillingham Census Area, Hoonah-Angoon Census Area, Kodiak Island Borough, Kusilvak Census Area, Lake and Peninsula Borough, Nome Census Area, North Slope Borough, Northwest Arctic Borough, Petersburg Borough, Prince of Wales-Hyder Census Area, Sitka City and Borough, Wrangell City and Borough, Yakutat City and Borough, Yukon-Koyukuk Census Area",0,0.004545701,Alaska,,
Black,0400100,6274,213147,Maricopa County,0.032853846,0.071235992,Arizona,Phoenix,Phoenix
Black,0400200,804,34550,Pima County,0.016985318,0.053180601,Arizona,,
Black,0400300,105,2169,"Apache County, Navajo County",0.014107215,0.013828498,Arizona,,
Black,0400400,0,1029,Coconino County,0,0.012127855,Arizona,,
Black,0400500,0,894,Yavapai County,0,0.007855404,Arizona,,
Black,0400600,0,1691,"La Paz County, Mohave County",0,0.01357023,Arizona,,
Black,0400700,514,2918,Yuma County,0.058515482,0.01898763,Arizona,,
Black,0400800,1080,20520,"Gila County, Graham County, Greenlee County, Pinal County",0.07123071,0.05659987,Arizona,,
Black,0400900,198,6577,"Cochise County, Santa Cruz County",0.019695614,0.051631287,Arizona,,
Black,0500100,225,6334,Benton County,0.017116774,0.033583414,Arkansas,,
Black,0500200,162,7841,Washington County,0.013835511,0.052400492,Arkansas,,
Black,0500300,0,466,"Baxter County, Boone County, Carroll County, Madison County, Marion County, Newton County, Searcy County",0,0.005102655,Arkansas,,
Black,0500400,0,2136,"Cleburne County, Fulton County, Independence County, Izard County, Sharp County, Stone County, Van Buren County",0,0.024830857,Arkansas,,
Black,0500590,2530,58284,"Clay County, Craighead County, Crittenden County, Greene County, Lawrence County, Mississippi County, Randolph County",0.149863765,0.281774849,Arkansas,,
Black,0500700,1647,38669,"Cross County, Lee County, Monroe County, Phillips County, Poinsett County, St. Francis County",0.234281644,0.485480398,Arkansas,,
Black,0500800,0,9390,"Jackson County, Prairie County, White County, Woodruff County",0,0.127058446,Arkansas,,
Black,0500900,7826,117426,Pulaski County,0.243413895,0.46602428,Arkansas,,
Black,0501100,1446,15369,"Faulkner County, Lonoke County",0.142998412,0.115138255,Arkansas,,
Black,0501200,1562,6644,Saline County,0.22687,0.087104723,Arkansas,,
Black,0501300,30,2906,"Conway County, Johnson County, Perry County, Pope County, Yell County",0.004255923,0.031381272,Arkansas,,
Black,0501400,140,10231,"Crawford County, Sebastian County",0.011326861,0.074550413,Arkansas,,
Black,0501500,0,3581,"Franklin County, Howard County, Logan County, Polk County, Scott County, Sevier County",0,0.048511859,Arkansas,,
Black,0501600,451,16075,"Clark County, Garland County, Hot Spring County, Montgomery County",0.059039142,0.164179713,Arkansas,,
Black,0501790,2483,60998,"Arkansas County, Ashley County, Bradley County, Chicot County, Cleveland County, Desha County, Drew County, Grant County, Jefferson County, Lincoln County",0.230783537,0.442107409,Arkansas,,
Black,0501900,1040,32657,"Calhoun County, Columbia County, Dallas County, Ouachita County, Union County",0.161867708,0.467409968,Arkansas,,
Black,0502000,1051,22569,"Hempstead County, Lafayette County, Little River County, Miller County, Nevada County, Pike County",0.179535359,0.296878487,Arkansas,,
Black,0600100,6002,139400,Alameda County,0.077820711,0.139976844,California,,
Black,0600300,0,3861,"Alpine County, Amador County, Calaveras County, Inyo County, Mariposa County, Mono County, Tuolumne County",0,0.037971321,California,,
Black,0600700,171,3990,Butte County,0.022601111,0.029884282,California,,
Black,0601100,0,2321,"Colusa County, Glenn County, Tehama County, Trinity County",0,0.02376345,California,,
Black,0601300,2103,94094,Contra Costa County,0.044961836,0.117693707,California,,
Black,0601500,0,2290,"Del Norte County, Lassen County, Modoc County, Plumas County, Siskiyou County",0,0.029639408,California,,
Black,0601700,0,2454,El Dorado County,0,0.019596256,California,,
Black,0601900,1476,45378,Fresno County,0.038328703,0.056418404,California,,
Black,0602300,0,1266,Humboldt County,0,0.016806053,California,,
Black,0602500,0,1378,Imperial County,0,0.009243235,California,,
Black,0602900,1783,46643,Kern County,0.052044719,0.061959598,California,,
Black,0603100,493,7848,Kings County,0.067878284,0.059529409,California,,
Black,0603300,69,1770,"Lake County, Mendocino County",0.010306199,0.018761527,California,,
Black,0603700,42087,582911,Los Angeles County,0.091919303,0.085087813,California,Los Angeles,Los Angeles
Black,0603900,31,3973,Madera County,0.004294224,0.031388752,California,,
Black,0604100,406,4498,Marin County,0.021698466,0.027777264,California,,
Black,0604700,640,9706,Merced County,0.048907228,0.040596101,California,,
Black,0605300,647,8848,"Monterey County, San Benito County",0.02626238,0.023771208,California,,
Black,0605500,0,1790,Napa County,0,0.019057354,California,,
Black,0605700,0,453,"Nevada County, Sierra County",0,0.007952949,California,,
Black,0605900,4894,46154,Orange County,0.031675965,0.02145187,California,,
Black,0606100,224,8381,Placer County,0.012765715,0.032268498,California,,
Black,0606500,4911,140890,Riverside County,0.055746004,0.0755523,California,,
Black,0606700,4546,148879,Sacramento County,0.066533968,0.139787897,California,,
Black,0607100,6767,173198,San Bernardino County,0.070904672,0.100420065,California,,
